rank,freq,Infinitiv,Unreg,Trans,"Präsens_ich","Präsens_du","Präsens_er, sie, es","Präteritum_ich","Partizip II","Konjunktiv II_ich","Imperativ Singular","Imperativ Plural",Hilfsverb
231,40933,treffen,"","",treffe,triffst,trifft,traf,getroffen,"träfe",triff,trefft,haben
233,40506,schaffen,"","",schaffe,schaffst,schafft,schuf,geschaffen,"schüfe",schaffe,schafft,haben
233,40506,schaffen,"","",schaffe,schaffst,schafft,schaffte,geschafft,schaffte,schaffe,schafft,haben
235,39891,liegen,"","",liege,liegst,liegt,lag,gelegen,"läge",lieg,liegt,haben
242,37596,zeigen,"",X,zeige,zeigst,zeigt,zeigte,gezeigt,zeigte,zeige,zeigt,haben
244,37295,erinnern,"",X,erinnere,erinnerst,erinnert,erinnerte,erinnert,erinnerte,erinnere,erinnert,haben
250,36112,danken,"","",danke,dankst,dankt,dankte,gedankt,dankte,dank,dankt,haben
253,35185,stunden,"","",stunde,stundest,stundet,stundete,gestundet,stundete,stunde,stundet,haben
254,35036,entschuldigen,"","",entschuldige,entschuldigst,entschuldigt,entschuldigte,entschuldigt,entschuldigte,entschuldige,entschuldigt,haben
259,34498,schlafen,"","",schlafe,"schläfst","schläft",schlief,geschlafen,schliefe,schlaf,schlaft,haben
261,34229,fallen,"","",falle,"fällst","fällt",fiel,gefallen,fiele,falle,fallt,sein
262,34218,verschwinden,"","",verschwinde,verschwindest,verschwindet,verschwand,verschwunden,"verschwände",verschwinde,verschwindet,sein
263,34160,vergessen,"","",vergesse,vergisst,vergisst,"vergaß",vergessen,"vergäße",vergiss,vergesst,haben
266,33762,fertigen,"","",fertige,fertigst,fertigt,fertigte,gefertigt,fertigte,fertig,fertigt,haben
269,33522,nennen,"","",nenne,nennst,nennt,nannte,genannt,nennte,nenn,nennt,haben
276,32911,wahren,"","",wahre,wahrst,wahrt,wahrte,gewahrt,wahrte,wahre,wahrt,haben
