rank,freq,Infinitiv,Unreg,Trans,"Präsens_ich","Präsens_du","Präsens_er, sie, es","Präteritum_ich","Partizip II","Konjunktiv II_ich","Imperativ Singular","Imperativ Plural",Hilfsverb
2455,2212,"überfallen","","","überfalle","überfällst","überfällt","überfiel","überfallen","überfiele","überfall","überfallt",haben
2455,2212,"überfallen","","","falle über","fällst über","fällt über","fiel über","übergefallen","fiele über","fall über","fallt über",sein
2458,2211,osten,"","",oste,ostest,ostet,ostete,geostet,ostete,ost,ostet,haben
2464,2202,"rächen","","","räche","rächst","rächt","rächte","gerächt","rächte","räche","rächt",haben
2465,2202,verschaffen,"","",verschaffe,verschaffst,verschafft,verschaffte,verschafft,verschaffte,verschaff,verschafft,haben
2466,2200,vermeiden,"","",vermeide,vermeidest,vermeidet,vermied,vermieden,vermiede,vermeide,vermeidet,haben
2467,2197,"verärgern","","","verärgere","verärgerst","verärgert","verärgerte","verärgert","verärgerte","verärger","verärgert",haben
2472,2193,ablenken,"","","lenke ab","lenkst ab","lenkt ab","lenkte ab",abgelenkt,"lenkte ab","lenk ab","lenkt ab",haben
2479,2190,langweilen,"","",langweile,langweilst,langweilt,langweilte,gelangweilt,langweilte,langweil,langweilt,haben
2480,2188,vereinigen,"","",vereinige,vereinigst,vereinigt,vereinigte,vereinigt,vereinigte,vereinige,vereinigt,haben
2482,2186,verlegen,"","",verlege,verlegst,verlegt,verlegte,verlegt,verlegte,verlege,verlegt,haben
2491,2178,"füttern","","","füttere","fütterst","füttert","fütterte","gefüttert","fütterte","füttere","füttert",haben
2492,2177,zeichnen,"",X,zeichne,zeichnest,zeichnet,zeichnete,gezeichnet,zeichnete,zeichne,zeichnet,haben
2497,2174,umlegen,"","","lege um","legst um","legt um","legte um",umgelegt,"legte um","leg um","legt um",haben
2502,2169,verdenken,"","",verdenke,verdenkst,verdenkt,verdachte,verdacht,"verdächte",verdenk,verdenkt,haben
2507,2160,faszinieren,"","",fasziniere,faszinierst,fasziniert,faszinierte,fasziniert,faszinierte,fasziniere,fasziniert,haben
2513,2153,zerbrechen,"","",zerbreche,zerbrichst,zerbricht,zerbrach,zerbrochen,"zerbräche",zerbrich,zerbrecht,haben
2521,2143,rollen,"","",rolle,rollst,rollt,rollte,gerollt,rollte,roll,rollt,haben
2523,2140,spenden,"","",spende,spendest,spendet,spendete,gespendet,spendete,spende,spendet,haben
2533,2127,"ärgern","","","ärgere","ärgerst","ärgert","ärgerte","geärgert","ärgerte","ärgere","ärgert",haben
2534,2126,"zurückgeben","","","gebe zurück","gibst zurück","gibt zurück","gab zurück","zurückgegeben","gäbe zurück","gib zurück","gebt zurück",haben
2537,2120,pinkeln,"","",pinkle,pinkelst,pinkelt,pinkelte,gepinkelt,pinkelte,pinkele,pinkelt,haben
2539,2119,"nützen","","","nütze","nützt","nützt","nützte","genützt","nützte","nütze","nützt",haben
2540,2118,aufheben,"","","hebe auf","hebst auf","hebt auf","hob auf",aufgehoben,"höbe auf","heb auf","hebt auf",haben
2542,2115,klagen,"","",klage,klagst,klagt,klagte,geklagt,klagte,klag,klagt,haben
2548,2110,bezweifeln,"","",bezweifle,bezweifelst,bezweifelt,bezweifelte,bezweifelt,bezweifelte,bezweifle,bezweifelt,haben
2553,2104,"grüßen","","","grüße","grüßt","grüßt","grüßte","gegrüßt","grüßte","grüße","grüßt",haben
2554,2104,diskutieren,"","",diskutiere,diskutierst,diskutiert,diskutierte,diskutiert,diskutierte,diskutier,diskutiert,haben
2559,2101,arrangieren,"","",arrangiere,arrangierst,arrangiert,arrangierte,arrangiert,arrangierte,arrangiere,arrangiert,haben
2561,2100,blicken,"","",blicke,blickst,blickt,blickte,geblickt,blickte,blicke,blickt,haben
2565,2098,aussetzen,"","","setze aus","setzt aus","setzt aus","setzte aus",ausgesetzt,"setzte aus","setz aus","setzt aus",haben
2566,2097,vermasseln,"",X,vermassele,vermasselst,vermasselt,vermasselte,vermasselt,vermasselte,vermassele,vermasselt,haben
2572,2089,verlaufen,"","",verlaufe,"verläufst","verläuft",verlief,verlaufen,verliefe,verlaufe,verlauft,sein
2573,2088,bewachen,"","",bewache,bewachst,bewacht,bewachte,bewacht,bewachte,bewach,bewacht,haben
2579,2084,kotzen,"","",kotze,kotzt,kotzt,kotzte,gekotzt,kotzte,kotze,kotzt,haben
2580,2083,"verprügeln","","","verprügel","verprügelst","verprügelt","verprügelte","verprügelt","verprügelte","verprügel","verprügelt",haben
2585,2079,vertreten,"","",vertrete,vertrittst,vertritt,vertrat,vertreten,"verträte",vertritt,vertretet,haben
2591,2071,sinken,"","",sinke,sinkst,sinkt,sank,gesunken,"sänke",sinke,sinkt,sein
2595,2068,bedanken,"","",bedanke,bedankst,bedankt,bedankte,bedankt,bedankte,bedank,bedankt,haben
2600,2064,operieren,"","",operiere,operierst,operiert,operierte,operiert,operierte,operiere,operiert,haben
2601,2063,posten,"","",poste,postest,postet,postete,gepostet,postete,poste,postet,haben
2601,2063,posten,"","",poste,postest,postet,postete,gepostet,postete,poste,postet,haben
2602,2063,erweisen,"","",erweise,erweist,erweist,erwies,erwiesen,erwiese,erweise,erweist,haben
2606,2060,stattfinden,"","","finde statt","findest statt","findet statt","fand statt",stattgefunden,"fände statt","finde statt","findet statt",haben
2607,2059,einziehen,"","","ziehe ein","ziehst ein","zieht ein","zog ein",eingezogen,"zöge ein","zieh ein","zieht ein",haben
2608,2059,absagen,"","","sage ab","sagst ab","sagt ab","sagte ab",abgesagt,"sagte ab","sage ab","sagt ab",haben
2615,2050,kugeln,"","",kugele,kugelst,kugelt,kugelte,gekugelt,kugelte,kugel,kugelt,haben
2616,2050,"belästigen","","","belästige","belästigst","belästigt","belästigte","belästigt","belästigte","belästige","belästigt",haben
2624,2038,kontaktieren,"","",kontaktiere,kontaktierst,kontaktiert,kontaktierte,kontaktiert,kontaktierte,kontaktiere,kontaktiert,haben
2631,2032,einsteigen,"","","steige ein","steigst ein","steigt ein","stieg ein",eingestiegen,"stiege ein","steig ein","steigt ein",sein
2634,2031,unterrichten,"","",unterrichte,unterrichtest,unterrichtet,unterrichtete,unterrichtet,unterrichtete,unterrichte,unterrichtet,haben
2637,2027,eintreten,"","","trete ein","trittst ein","tritt ein","trat ein",eingetreten,"träte ein","tritt ein","tretet ein",haben
2639,2024,losgehen,"","","gehe los","gehst los","geht los","ging los",losgegangen,"ginge los","geh los","geht los",sein
2644,2014,putzen,"","",putze,putzt,putzt,putzte,geputzt,putzte,putz,putzt,haben
2645,2013,zielen,"","",ziele,zielst,zielt,zielte,gezielt,zielte,ziele,zielt,haben
2652,2009,hacken,"","",hacke,hackst,hackt,hackte,gehackt,hackte,hack,hackt,haben
2652,2009,hacken,"","",hacke,hackst,hackt,hackte,gehackt,hackte,hacke,hackt,haben
2653,2008,husten,"","",huste,hustest,hustet,hustete,gehustet,hustete,huste,hustet,haben
2659,2004,einkaufen,"","","kaufe ein","kaufst ein","kauft ein","kaufte ein",eingekauft,"kaufte ein","kauf ein","kauft ein",haben
2668,1996,einnehmen,"","","nehme ein","nimmst ein","nimmt ein","nahm ein",eingenommen,"nähme ein","nimm ein","nehmt ein",haben
2678,1987,"bescheißen","","","bescheiße","bescheißt","bescheißt",beschiss,beschissen,beschisse,"bescheiße","bescheißt",haben
2698,1971,knallen,"","",knalle,knallst,knallt,knallte,geknallt,knallte,knall,knallt,haben
2704,1968,"verschließen","","","verschließe","verschließt","verschließt",verschloss,verschlossen,"verschlösse","verschließ","verschließt",haben
2707,1966,vereinen,"","",vereine,vereinst,vereint,vereinte,vereint,vereinte,vereine,vereint,haben
2708,1965,sprengen,"","",sprenge,sprengst,sprengt,sprengte,gesprengt,sprengte,sprenge,sprengt,haben
2709,1965,versorgen,"","",versorge,versorgst,versorgt,versorgte,versorgt,versorgte,versorg,versorgt,haben
2710,1963,durchgehen,"","","gehe durch","gehst durch","geht durch","ging durch",durchgegangen,"ginge durch","geh durch","geht durch",sein
2710,1963,durchgehen,"","",durchgehe,durchgehst,durchgeht,durchging,durchgangen,durchginge,durchgehe,durchgeht,haben
2711,1962,verabreden,"","",verabrede,verabredest,verabredet,verabredete,verabredet,verabredete,verabrede,verabredet,haben
2720,1958,verbreiten,"","",verbreite,verbreitest,verbreitet,verbreitete,verbreitet,verbreitete,verbreite,verbreitet,haben
2725,1956,abziehen,"","","ziehe ab","ziehst ab","zieht ab","zog ab",abgezogen,"zöge ab","ziehe ab","zieht ab",haben
2740,1943,vorschlagen,"","","schlage vor","schlägst vor","schlägt vor","schlug vor",vorgeschlagen,"schlüge vor","schlag vor","schlagt vor",haben
2743,1941,verschieben,"","",verschiebe,verschiebst,verschiebt,verschob,verschoben,"verschöbe",verschiebe,verschiebt,haben
2745,1941,beunruhigen,"","",beunruhige,beunruhigst,beunruhigt,beunruhigte,beunruhigt,beunruhigte,beunruhige,beunruhigt,haben
2747,1938,"gefährden","","","gefährde","gefährdest","gefährdet","gefährdete","gefährdet","gefährdete","gefährd","gefährdet",haben
2752,1936,feststellen,"","","stelle fest","stellst fest","stellt fest","stellte fest",festgestellt,"stellte fest","stell fest","stellt fest",haben
2754,1935,"zurückgehen","","","gehe zurück","gehst zurück","geht zurück","ging zurück","zurückgegangen","ginge zurück","geh zurück","geht zurück",sein
2758,1935,hinsetzen,"","","setze hin","setzt hin","setzt hin","setzte hin",hingesetzt,"setzte hin","setz hin","setzt hin",haben
2765,1929,mischen,"","",mische,mischst,mischt,mischte,gemischt,mischte,misch,mischt,haben
2770,1927,wellen,"","",welle,wellst,wellt,wellte,gewellt,wellte,well,wellt,haben
2771,1926,wehren,"","",wehre,wehrst,wehrt,wehrte,gewehrt,wehrte,wehre,wehrt,haben
2772,1926,einigen,"","",einige,einigst,einigt,einigte,geeinigt,einigte,einig,einigt,haben
2774,1925,verfahren,"","",verfahre,"verfährst","verfährt",verfuhr,verfahren,"verführe",verfahre,verfahrt,haben
2774,1925,verfahren,"","",verfahre,"verfährst","verfährt",verfuhr,verfahren,"verführe",verfahre,verfahrt,sein
2777,1919,"läuten","","","läute","läutest","läutet","läutete","geläutet","läutete","läut","läutet",haben
2784,1915,"brüllen","","","brülle","brüllst","brüllt","brüllte","gebrüllt","brüllte","brüll","brüllt",haben
2785,1912,herbringen,X,"","bringe her","bringst her","bringt her","brachte her",hergebracht,"brächte her","bring her","bringt her",haben
2790,1909,beschweren,"","",beschwere,beschwerst,beschwert,beschwerte,beschwert,beschwerte,beschwere,beschwert,haben
2799,1901,"zurückziehen","","","ziehe zurück","ziehst zurück","zieht zurück","zog zurück","zurückgezogen","zöge zurück","ziehe zurück","zieht zurück",haben
2800,1900,"quälen","","","quäle","quälst","quält","quälte","gequält","quälte","quäle","quält",haben
2807,1892,umarmen,"","",umarme,umarmst,umarmt,umarmte,umarmt,umarmte,umarm,umarmt,haben
2810,1889,lohnen,"","",lohne,lohnst,lohnt,lohnte,gelohnt,lohnte,lohne,lohnt,haben
2817,1884,schluchzen,"","",schluchze,schluchzt,schluchzt,schluchzte,geschluchzt,schluchzte,schluchz,schluchzt,haben
2819,1883,duschen,"","",dusche,duschst,duscht,duschte,geduscht,duschte,dusch,duscht,haben
2820,1883,"ausschließen","","","schließe aus","schließt aus","schließt aus","schloss aus",ausgeschlossen,"schlösse aus","schließ aus","schließt aus",haben
2826,1879,zittern,"","",zittere,zitterst,zittert,zitterte,gezittert,zitterte,zittere,zittert,haben
2828,1878,knacken,"","",knacke,knackst,knackt,knackte,geknackt,knackte,knack,knackt,haben
2829,1876,locken,"","",locke,lockst,lockt,lockte,gelockt,lockte,locke,lockt,haben
2830,1875,besetzen,"","",besetze,besetzt,besetzt,besetzte,besetzt,besetzte,besetze,besetzt,haben
2834,1874,entsprechen,"","",entspreche,entsprichst,entspricht,entsprach,entsprochen,"entspräche",entsprich,entsprecht,haben
2848,1865,abfahren,"","","fahre ab","fährst ab","fährt ab","fuhr ab",abgefahren,"führe ab","fahre ab","fahrt ab",sein
2850,1863,bezeichnen,"","",bezeichne,bezeichnest,bezeichnet,bezeichnete,bezeichnet,bezeichnete,bezeichne,bezeichnet,haben
2861,1852,vergleichen,"","",vergleiche,vergleichst,vergleicht,verglich,verglichen,vergliche,vergleich,vergleicht,haben
2862,1852,pflegen,"","",pflege,pflegst,pflegt,pflegte,gepflegt,pflegte,pflege,pflegt,haben
2869,1843,zusammenarbeiten,"","","arbeite zusammen","arbeitest zusammen","arbeitet zusammen","arbeitete zusammen",zusammengearbeitet,"arbeitete zusammen","arbeite zusammen","arbeitet zusammen",haben
2876,1832,verhungern,"","",verhungere,verhungerst,verhungert,verhungerte,verhungert,verhungerte,verhungere,verhungert,sein
2881,1829,bevorzugen,"","",bevorzuge,bevorzugst,bevorzugt,bevorzugte,bevorzugt,bevorzugte,bevorzuge,bevorzugt,haben
2882,1828,vertragen,"","",vertrage,"verträgst","verträgt",vertrug,vertragen,"vertrüge",vertrag,vertragt,haben
2887,1824,ausdenken,"","","denke aus","denkst aus","denkt aus","dachte aus",ausgedacht,"dächte aus","denke aus","denkt aus",haben
2890,1823,aushalten,"","","halte aus","hältst aus","hält aus","hielt aus",ausgehalten,"hielte aus","halt aus","haltet aus",haben
2891,1821,erholen,"","",erhole,erholst,erholt,erholte,erholt,erholte,erhole,erholt,haben
2893,1820,einbrechen,"","","breche ein","brichst ein","bricht ein","brach ein",eingebrochen,"bräche ein","brich ein","brecht ein",sein
2900,1814,korrigieren,"","",korrigiere,korrigierst,korrigiert,korrigierte,korrigiert,korrigierte,korrigiere,korrigiert,haben
2907,1806,platzen,"","",platze,platzt,platzt,platzte,geplatzt,platzte,platze,platzt,sein
2908,1806,ausrechnen,"","","rechne aus","rechnest aus","rechnet aus","rechnete aus",ausgerechnet,"rechnete aus","rechne aus","rechnet aus",haben
2909,1806,verbessern,"","",verbessere,verbesserst,verbessert,verbesserte,verbessert,verbesserte,verbesser,verbessert,haben
2919,1800,enthalten,"","",enthalte,"enthältst","enthält",enthielt,enthalten,enthielte,enthalte,enthaltet,haben
2921,1798,zweifeln,"","",zweifle,zweifelst,zweifelt,zweifelte,gezweifelt,zweifelte,zweifle,zweifelt,haben
2922,1798,"übersehen","","","übersehe","übersiehst","übersieht","übersah","übersehen","übersähe","übersieh","überseht",haben
2922,1798,"übersehen","","","sehe über","siehst über","sieht über","sah über","übergesehen","sähe über","sieh über","seht über",haben
2929,1794,abbrechen,X,X,"breche ab","brichst ab","bricht ab","brach ab",abgebrochen,"bräche ab","brich ab","brecht ab",haben
2930,1792,hinlegen,"","","lege hin","legst hin","legt hin","legte hin",hingelegt,"legte hin","lege hin","legt hin",haben
2931,1790,erteilen,"","",erteile,erteilst,erteilt,erteilte,erteilt,erteilte,erteil,erteilt,haben
2936,1788,verdanken,"","",verdanke,verdankst,verdankt,verdankte,verdankt,verdankte,verdank,verdankt,haben
2939,1786,parken,"","",parke,parkst,parkt,parkte,geparkt,parkte,parke,parkt,haben
2945,1780,bedauern,"","",bedauere,bedauerst,bedauert,bedauerte,bedauert,bedauerte,bedauere,bedauert,haben
2946,1779,wandern,"","",wandere,wanderst,wandert,wanderte,gewandert,wanderte,wandere,wandert,sein
2947,1779,begeben,"","",begebe,begibst,begibt,begab,begeben,"begäbe",begib,begebt,haben
2964,1767,befolgen,"","",befolge,befolgst,befolgt,befolgte,befolgt,befolgte,befolg,befolgt,haben
2970,1759,baden,"","",bade,badest,badet,badete,gebadet,badete,bade,badet,haben
2973,1756,klettern,"","",klettere,kletterst,klettert,kletterte,geklettert,kletterte,kletter,klettert,sein
2974,1756,eintreffen,"","","treffe ein","triffst ein","trifft ein","traf ein",eingetroffen,"träfe ein","triff ein","trefft ein",sein
2985,1746,"überreden","","","überrede","überredest","überredet","überredete","überredet","überredete","überrede","überredet",haben
2986,1745,"zustoßen","","","stoße zu","stößt zu","stößt zu","stieß zu","zugestoßen","stieße zu","stoß zu","stoßt zu",haben
2987,1744,umkehren,"","","kehre um","kehrst um","kehrt um","kehrte um",umgekehrt,"kehrte um","kehr um","kehrt um",sein
2988,1743,servieren,"","",serviere,servierst,serviert,servierte,serviert,servierte,servier,serviert,haben
3015,1715,abschalten,"","","schalte ab","schaltest ab","schaltet ab","schaltete ab",abgeschaltet,"schaltete ab","schalt ab","schaltet ab",haben
3020,1713,biegen,"",X,biege,biegst,biegt,bog,gebogen,"böge",biege,biegt,haben
3024,1712,ermitteln,"","",ermittle,ermittelst,ermittelt,ermittelte,ermittelt,ermittelte,ermittle,ermittelt,haben
3030,1706,engagieren,"","",engagiere,engagierst,engagiert,engagierte,engagiert,engagierte,engagiere,engagiert,haben
3033,1705,zugreifen,"","","greife zu","greifst zu","greift zu","griff zu",zugegriffen,"griffe zu","greife zu","greift zu",haben
3034,1705,manipulieren,"","",manipuliere,manipulierst,manipuliert,manipulierte,manipuliert,manipulierte,manipuliere,manipuliert,haben
3036,1702,wegwerfen,"","","werfe weg","wirfst weg","wirft weg","warf weg",weggeworfen,"würfe weg","wirf weg","werft weg",haben
3037,1702,rasen,"","",rase,rast,rast,raste,gerast,raste,ras,rast,sein
3039,1701,"bemühen","","","bemühe","bemühst","bemüht","bemühte","bemüht","bemühte","bemüh","bemüht",haben
3040,1700,versehen,"","",versehe,versiehst,versieht,versah,versehen,"versähe",versieh,verseht,haben
3041,1700,"aufspüren","","","spüre auf","spürst auf","spürt auf","spürte auf","aufgespürt","spürte auf","spür auf","spürt auf",haben
3047,1698,ausrichten,"","","richte aus","richtest aus","richtet aus","richtete aus",ausgerichtet,"richtete aus","richte aus","richtet aus",haben
3048,1697,"überstehen","","","überstehe","überstehst","übersteht","überstand","überstanden","überstände","übersteh","übersteht",haben
3048,1697,"überstehen","","","stehe über","stehst über","steht über","stand über","übergestanden","stände über","steh über","steht über",haben
3051,1696,pflanzen,"","",pflanze,pflanzt,pflanzt,pflanzte,gepflanzt,pflanzte,pflanze,pflanzt,haben
3054,1695,auflegen,"","","lege auf","legst auf","legt auf","legte auf",aufgelegt,"legte auf","leg auf","legt auf",haben
3055,1694,durchziehen,"","","ziehe durch","ziehst durch","zieht durch","zog durch",durchgezogen,"zöge durch","zieh durch","zieht durch",haben
3055,1694,durchziehen,"","",durchziehe,durchziehst,durchzieht,durchzog,durchzogen,"durchzöge",durchziehe,durchzieht,haben
3057,1690,infizieren,"","",infiziere,infizierst,infiziert,infizierte,infiziert,infizierte,infiziere,infiziert,haben
3061,1687,"entschließen",X,"","entschließe","entschließt","entschließt",entschloss,entschlossen,"entschlösse","entschließ","entschließt",haben
3062,1687,abreisen,"","","reise ab","reist ab","reist ab","reiste ab",abgereist,"reiste ab","reise ab","reist ab",sein
3069,1684,vorfahren,"","","fahre vor","fährst vor","fährt vor","fuhr vor",vorgefahren,"führe vor","fahr vor","fahrt vor",haben
3071,1684,vertreiben,"","",vertreibe,vertreibst,vertreibt,vertrieb,vertrieben,vertriebe,vertreibe,vertreibt,haben
3075,1681,orten,"","",orte,ortest,ortet,ortete,geortet,ortete,orte,ortet,haben
3082,1676,anrichten,"","","richte an","richtest an","richtet an","richtete an",angerichtet,"richtete an","richte an","richtet an",haben
3086,1673,buchen,"","",buche,buchst,bucht,buchte,gebucht,buchte,buch,bucht,haben
3097,1668,bequemen,"","",bequeme,bequemst,bequemt,bequemte,bequemt,bequemte,bequem,bequemt,haben
3102,1665,"anfühlen","","","fühle an","fühlst an","fühlt an","fühlte an","angefühlt","fühlte an","fühl an","fühlt an",haben
3103,1665,eindringen,"","","dringe ein","dringst ein","dringt ein","drang ein",eingedrungen,"dränge ein","dringe ein","dringt ein",sein
3107,1663,"aufräumen","","","räume auf","räumst auf","räumt auf","räumte auf","aufgeräumt","räumte auf","räum auf","räumt auf",haben
3113,1660,"auswählen","","","wähle aus","wählst aus","wählt aus","wählte aus","ausgewählt","wählte aus","wähl aus","wählt aus",haben
3120,1654,freilassen,"","","lasse frei","lässt frei","lässt frei","ließ frei",freigelassen,"ließe frei","lass frei","lasst frei",haben
3122,1653,"veröffentlichen","","","veröffentliche","veröffentlichst","veröffentlicht","veröffentlichte","veröffentlicht","veröffentlichte","veröffentlich","veröffentlicht",haben
3123,1652,aufstellen,"","","stelle auf","stellst auf","stellt auf","stellte auf",aufgestellt,"stellte auf","stell auf","stellt auf",haben
3136,1641,"zögern","","","zögere","zögerst","zögert","zögerte","gezögert","zögerte","zögere","zögert",haben
3137,1641,ersparen,"","",erspare,ersparst,erspart,ersparte,erspart,ersparte,erspar,erspart,haben
3141,1640,schlucken,"","",schlucke,schluckst,schluckt,schluckte,geschluckt,schluckte,schlucke,schluckt,haben
3153,1632,"durchführen","","","führe durch","führst durch","führt durch","führte durch","durchgeführt","führte durch","führ durch","führt durch",haben
3156,1631,"übernachten","","","übernachte","übernachtest","übernachtet","übernachtete","übernachtet","übernachtete","übernachte","übernachtet",haben
3158,1630,ansprechen,"","","spreche an","sprichst an","spricht an","sprach an",angesprochen,"spräche an","sprich an","sprecht an",haben
3163,1629,vorkommen,"","","komme vor","kommst vor","kommt vor","kam vor",vorgekommen,"käme vor","komm vor","kommt vor",sein
3164,1629,"abhängen","","","hänge ab","hängst ab","hängt ab","hing ab",abgehangen,"hinge ab","häng ab","hängt ab",haben
3164,1629,"abhängen","","","hänge ab","hängst ab","hängt ab","hängte ab","abgehängt","hängte ab","häng ab","hängt ab",haben
3165,1628,mieten,"",X,miete,mietest,mietet,mietete,gemietet,mietete,miete,mietet,haben
3175,1620,versammeln,"","",versammle,versammelst,versammelt,versammelte,versammelt,versammelte,versammle,versammelt,haben
3183,1614,belieben,"","",beliebe,beliebst,beliebt,beliebte,beliebt,beliebte,belieb,beliebet,haben
3184,1614,"einschließen","","","schließe ein","schließt ein","schließt ein","schloss ein",eingeschlossen,"schlösse ein","schließ ein","schließt ein",haben
3186,1611,ablaufen,"","","laufe ab","läufst ab","läuft ab","lief ab",abgelaufen,"liefe ab","laufe ab","lauft ab",haben
3187,1611,anstrengen,"","","strenge an","strengst an","strengt an","strengte an",angestrengt,"strengte an","strenge an","strengt an",haben
3193,1606,"beschädigen","","","beschädige","beschädigst","beschädigt","beschädigte","beschädigt","beschädigte","beschädige","beschädigt",haben
3194,1604,"erschöpfen","","","erschöpfe","erschöpfst","erschöpft","erschöpfte","erschöpft","erschöpfte","erschöpf","erschöpft",haben
3195,1600,schelten,"","",schelte,schiltst,schilt,schalt,gescholten,"schölte",schilt,scheltet,haben
3197,1599,sicherstellen,"","","stelle sicher","stellst sicher","stellt sicher","stellte sicher",sichergestellt,"stellte sicher","stell sicher","stellt sicher",haben
3200,1595,verwickeln,"","",verwickele,verwickelst,verwickelt,verwickelte,verwickelt,verwickelte,verwickel,verwickelt,haben
3203,1592,aufbrechen,"","","breche auf","brichst auf","bricht auf","brach auf",aufgebrochen,"bräche auf","brich auf","brecht auf",sein
3204,1591,ablegen,"","","lege ab","legst ab","legt ab","legte ab",abgelegt,"legte ab","lege ab","legt ab",haben
3206,1590,foltern,"","",foltere,folterst,foltert,folterte,gefoltert,folterte,foltere,foltert,haben
3211,1588,"überfahren","","","überfahre","überfährst","überfährt","überfuhr","überfahren","überführe","überfahre","überfahrt",haben
3211,1588,"überfahren","","","fahre über","fährst über","fährt über","fuhr über","übergefahren","führe über","fahre über","fahrt über",sein
3212,1588,haken,"","",hake,hakst,hakt,hakte,gehakt,hakte,hake,hakt,haben
3214,1587,"übertragen","","","übertrage","überträgst","überträgt","übertrug","übertragen","übertrüge","übertrag","übertragt",haben
3216,1587,tropfen,"","",tropfe,tropfst,tropft,tropfte,getropft,tropfte,tropfe,tropft,haben
3217,1586,blockieren,"","",blockiere,blockierst,blockiert,blockierte,blockiert,blockierte,blockier,blockiert,haben
3218,1586,erregen,"","",errege,erregst,erregt,erregte,erregt,erregte,errege,erregt,haben
3228,1579,"zurückrufen","","","rufe zurück","rufst zurück","ruft zurück","rief zurück","zurückgerufen","riefe zurück","ruf zurück","ruft zurück",haben
3230,1575,"münzen","","","münze","münzt","münzt","münzte","gemünzt","münzte","münz","münzt",haben
3243,1566,beseitigen,"","",beseitige,beseitigst,beseitigt,beseitigte,beseitigt,beseitigte,beseitige,beseitigt,haben
3247,1564,verpflichten,"",X,verpflichte,verpflichtest,verpflichtet,verpflichtete,verpflichtet,verpflichtete,verpflichte,verpflichtet,haben
3248,1561,wiegen,"","",wiege,wiegst,wiegt,wog,gewogen,"wöge",wieg,wiegt,haben
3248,1561,wiegen,"","",wiege,wiegst,wiegt,wiegte,gewiegt,wiegte,wieg,wiegt,haben
3252,1559,angeln,"","",angle,angelst,angelt,angelte,geangelt,angelte,angle,angelt,haben
3253,1558,lenken,"","",lenke,lenkst,lenkt,lenkte,gelenkt,lenkte,lenk,lenkt,haben
3256,1557,verehren,"","",verehre,verehrst,verehrt,verehrte,verehrt,verehrte,verehre,verehrt,haben
3260,1556,hupen,"","",hupe,hupst,hupt,hupte,gehupt,hupte,hupe,hupt,haben
3270,1549,fotografieren,"","",fotografiere,fotografierst,fotografiert,fotografierte,fotografiert,fotografierte,fotografiere,fotografiert,haben
3280,1544,verzichten,"","",verzichte,verzichtest,verzichtet,verzichtete,verzichtet,verzichtete,verzichte,verzichtet,haben
3283,1542,unterzeichnen,"","",unterzeichne,unterzeichnest,unterzeichnet,unterzeichnete,unterzeichnet,unterzeichnete,unterzeichne,unterzeichnet,haben
3292,1535,"flüchten","","","flüchte","flüchtest","flüchtet","flüchtete","geflüchtet","flüchtete","flüchte","flüchtet",sein
3296,1532,ausrauben,"","","raube aus","raubst aus","raubt aus","raubte aus",ausgeraubt,"raubte aus","raub aus","raubt aus",haben
3306,1524,scheitern,"","",scheitere,scheiterst,scheitert,scheiterte,gescheitert,scheiterte,scheitere,scheitert,sein
3312,1521,abwarten,"","","warte ab","wartest ab","wartet ab","wartete ab",abgewartet,"wartete ab","wart ab","wartet ab",haben
3318,1517,checken,"","",checke,checkst,checkt,checkte,gecheckt,checkte,check,checkt,haben
3321,1514,entgehen,"","",entgehe,entgehst,entgeht,entging,entgangen,entginge,entgehe,entgeht,sein
3326,1512,basieren,"","",basiere,basierst,basiert,basierte,basiert,basierte,basier,basiert,haben
3339,1505,absetzen,"","","setze ab","setzt ab","setzt ab","setzte ab",abgesetzt,"setzte ab","setz ab","setzt ab",haben
3342,1503,gehorchen,"","",gehorche,gehorchst,gehorcht,gehorchte,gehorcht,gehorchte,gehorch,gehorcht,haben
3344,1502,erzeugen,"","",erzeuge,erzeugst,erzeugt,erzeugte,erzeugt,erzeugte,erzeug,erzeugt,haben
3348,1501,widmen,"","",widme,widmest,widmet,widmete,gewidmet,widmete,widme,widmet,haben
3358,1495,kriechen,"","",krieche,kriechst,kriecht,kroch,gekrochen,"kröche",kriech,kriecht,sein
3360,1495,erobern,"","",erobere,eroberst,erobert,eroberte,erobert,eroberte,erobre,erobert,haben
3369,1491,"befördern","","","befördere","beförderst","befördert","beförderte","befördert","beförderte","befördere","befördert",haben
3371,1490,messen,"","",messe,misst,misst,"maß",gemessen,"mäße",miss,messt,haben
3372,1490,deuten,"","",deute,deutest,deutet,deutete,gedeutet,deutete,deut,deutet,haben
3379,1483,kratzen,"","",kratze,kratzt,kratzt,kratzte,gekratzt,kratzte,kratz,kratzt,haben
3390,1478,erziehen,"","",erziehe,erziehst,erzieht,erzog,erzogen,"erzöge",erzieh,erzieht,haben
3396,1475,hellen,"","",helle,hellst,hellt,hellte,gehellt,hellte,hell,hellt,haben
3399,1475,ausbrechen,X,"","breche aus","brichst aus","bricht aus","brach aus",ausgebrochen,"bräche aus","brich aus","brecht aus",haben
3406,1470,produzieren,"","",produziere,produzierst,produziert,produzierte,produziert,produzierte,produzier,produziert,haben
3412,1467,lehnen,"","",lehne,lehnst,lehnt,lehnte,gelehnt,lehnte,lehn,lehnt,haben
