rank,freq,Nominativ,Genus,"Nominativ Singular","Nominativ Plural","Genitiv Singular","Genitiv Plural","Dativ Singular","Dativ Plural","Akkusativ Singular","Akkusativ Plural",Bild,"Bild 1","Bild 2","Bild 3","Bild 4"
1,10094674,Ich,n,Ich,Ich,Ichs,Ich,Ich,Ich,Ich,Ich,"","","","",""
5,1890181,Du,n,Du,"",Dus,"",Du,"",Du,"","","","","",""
17,635186,Ja,n,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,"","","","",""
18,585413,Wie,n,Wie,"",Wies,"",Wie,"",Wie,"","","","","",""
22,523716,Aber,n,Aber,Aber,Aber,Aber,Aber,Abern,Aber,Aber,"","","","",""
25,501216,Gut,n,Gut,"Güter",Guts,"Güter",Gut,"Gütern",Gut,"Güter","","","","",""
27,461926,"Für",n,"Für","","Fürs","","Für","","Für","","","","","",""
28,457616,Von,fm,Von,Vons,"",Vons,Von,Vons,Von,Vons,"","","","",""
29,438665,Wenn,n,Wenn,Wenn,Wenns,Wenn,Wenn,Wenn,Wenn,Wenn,"","","","",""
33,406611,Habe,f,Habe,"",Habe,"",Habe,"",Habe,"","","","","",""
34,404910,Nein,n,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,"","","","",""
48,275361,Als,f,Als,"",Als,"",Als,"",Als,"","Schwarzenbergpark Als I.jpg|mini|1|Die ''Als'' im Wienerwald","","","",""
49,274768,Jetzt,n,Jetzt,"",Jetzt,"",Jetzt,"",Jetzt,"","","","","",""
50,271291,Mal,n,Mal,Male,Mals,Male,Mal,Malen,Mal,Male,"","","","",""
51,269701,Aus,n,Aus,"",Aus,"",Aus,"",Aus,"","","","","",""
54,264799,Einer,m,Einer,Einer,Einers,Einer,Einer,Einern,Einer,Einer,"","","","",""
58,225172,"Weiß",n,"Weiß","","Weißes","","Weiß","","Weiß","","","","","",""
60,214775,Oder,n,Oder,Oders,Oders,Oders,Oder,Oders,Oder,Oders,"","","","",""
